,0,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,United States,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming
0,2016,599964,1933554,1056497,1470610,7830294,1484567,723886,174155,273471,4240212,2838934,282912,1529758,528491,3907112,2802274,1092965,1702366,4205302,1422786,1359282,387834,2751625,1806888,1779971,1166257,394479,2553798,586450,868287,300942,2219362,667821,679123,3661463,3684821,1636003,977460,3755258,186184,1653274,383226,2211297,13183479,97314710,810080,2331974,128656,2058246,1781071,766229,502897
1,2015,617872,1928506,1064733,1441373,7689270,1486406,754426,178528,278211,4260884,2865279,283187,1499766,527472,3905111,2848948,1105087,1735204,4120443,1448335,1399890,412718,2769355,1785168,1829241,1142332,394906,2541956,612097,854038,307502,2303145,676727,651279,3729238,3735963,1632508,964405,3856677,202709,1662650,385378,2179948,12970408,97410967,801100,2375506,132779,2002286,1797810,775788,504199
2,2014,604917,1970506,1122070,1420738,7588165,1482814,752750,179278,274398,4097068,2861294,279321,1547404,521564,4050116,2933766,1135211,1775041,4110765,1434704,1399284,417284,2883275,1924186,1906711,1159855,405451,2571927,644640,870436,312296,2352007,680343,662163,3753734,3828093,1684600,994090,3955465,204976,1642563,394095,2206235,12810478,98391552,800164,2436896,140693,2022245,1888231,781359,537444
3,2013,617921,1933911,1104819,1412152,7641507,1468544,754716,174777,274331,4060481,2793314,278508,1524581,528219,3978542,2896227,1102872,1824246,4079677,1429246,1394186,415985,2837171,1868654,1845866,1140158,406736,2539193,594790,873057,305579,2317895,670649,659582,3628373,3728625,1622281,997420,3828896,199180,1602742,390488,2138666,12799426,97223138,832773,2417998,137433,2046408,1829931,751631,540200
4,2012,650535,1889769,1072259,1394235,7549428,1440947,725889,172800,273624,4013835,2776949,277935,1432922,511581,3821521,2770198,1073575,1879651,4143974,1364262,1368285,403967,2686741,1826076,1780264,1144611,395833,2488626,553459,853503,285054,2248848,666882,639133,3504471,3651472,1562956,978672,3620738,183902,1567543,370857,2085672,12019256,94454840,791422,2348165,130462,2044157,1732999,729975,550968
5,2011,654999,1915974,1127856,1424258,7766158,1471398,740630,183640,272622,4128286,2993712,285548,1502565,517945,3940668,2848576,1103206,1917502,4277679,1399757,1410310,418757,2784893,1855555,1855637,1157292,402750,2568604,529499,863453,294361,2424027,669317,633020,3613755,3789127,1586553,1006980,3726256,185788,1611626,378844,2200470,11962749,96897848,795760,2386113,150760,2067474,1790773,735587,557672
6,2010,654595,1941374,1125436,1384168,7757919,1514026,766881,190350,250202,4277137,3110244,277128,1503672,518505,3958161,2864660,1115850,1990721,4274299,1418509,1465833,419293,2749671,1861348,1910735,1179343,401484,2694180,476639,861471,295866,2410540,650687,646644,3726751,3821380,1580680,979819,3753031,195380,1654070,378848,2251305,11754140,97543976,757682,2490054,154484,2039980,1805668,747998,541306
7,2009,639694,1800938,1042171,1380865,7779429,1466090,766928,195138,259599,4117691,2915511,276035,1451084,502736,3862554,2714041,1088707,1931015,4056558,1376463,1456306,413328,2691697,1787490,1843867,1112229,427226,2558691,435277,779351,298223,2373934,644844,651709,3700461,3668181,1492929,1013334,3628304,194986,1574575,363333,2085487,10940483,94093700,742587,2430651,156795,2032298,1764919,706489,524280
8,2008,650420,2003763,1110485,1466685,8083096,1488589,775290,186883,291765,4269434,2949264,276646,1443831,537680,4081501,2917643,1114597,2009230,4243540,1437210,1467973,455609,2917079,1912845,1949679,1166509,456939,2701261,443957,795871,301809,2596414,677843,697711,3875881,4000981,1582444,1047411,3943915,194519,1639065,353564,2284750,11304089,98861525,768542,2546401,146538,2042658,1895830,776589,538525
9,2007,723069,2086251,1128824,1498670,8265016,1484714,842670,194959,293874,4419857,3079941,337743,1379840,541600,4076820,2958240,1159118,2044550,4293396,1458988,1506764,450487,3023644,1895519,1985987,1225182,470127,2688043,437460,757505,309305,2667839,716325,733348,3957373,4049237,1571954,1062493,3962853,198436,1671642,330792,2345127,11833638,100991264,781340,2644366,154910,2049671,1902825,790029,523709
