,0,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,United States,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming
0,2016,16613,410168,246437,323878,32077,321476,2340,34,8199,426188,399279,16431,298006,2432,702467,948386,253121,736584,140513,20115,162931,2194,471236,261250,639860,61219,161938,381761,394579,240465,5277,17455,197083,30765,29679,825311,221842,19440,734838,0,221865,26660,379775,1323111,14227138,269016,222938,0,53302,357335,751957,457315
1,2015,19511,494311,226889,385822,30967,340107,6536,44,7149,466530,394665,15632,348293,4249,850430,1007472,273416,796484,174221,24177,165994,2588,617280,271570,696401,71626,178421,405525,408091,266319,10989,22925,215703,36635,41241,865714,280748,26515,878829,0,241217,19616,370650,1340422,15548985,330043,232427,0,58273,408189,730949,487177
2,2014,18225,575912,339214,447849,39486,350526,9097,48,10238,557882,482657,17241,401151,7472,1017855,1221492,316572,913452,209973,29871,201220,2142,618479,313073,780707,116537,175357,501592,399195,276544,14867,30731,215348,79230,64655,1057377,336080,34238,1039161,0,305656,33062,427509,1585961,17996577,344054,278183,0,76547,417096,816460,489300
3,2013,14819,565051,327099,454865,38151,363532,7679,4,18254,505155,426184,15306,402402,7965,1026925,1198611,326817,914774,228055,42208,183191,1657,658172,267695,806549,97767,166104,493771,393193,292956,16778,25910,256377,64838,68707,1104486,335925,38900,1126118,0,257319,34246,399768,1597357,18038771,355230,290508,0,74955,454554,771188,520699
4,2012,15521,547004,296732,420570,43832,370085,9290,77,17384,482984,435546,16572,422595,5186,969294,1193465,307585,909705,238811,24036,192334,1299,621633,257875,768297,82456,157308,534713,406344,272587,14191,25589,263439,52850,72914,1019140,327089,28259,1093178,0,298572,35574,423086,1498818,17380923,322055,222270,0,42656,373281,756716,490128
5,2011,15481,651032,306119,459909,55264,368871,6081,48,17881,552730,634756,16080,463138,7846,1052224,1333442,346521,1010623,269993,42963,241190,1542,691150,315604,825650,107546,165687,624783,394771,285384,24489,49592,284737,62701,125181,1222606,378320,35135,1212984,0,366160,32112,481127,1695239,19663856,346181,288348,0,56951,447370,822645,467671
6,2010,14548,718684,293689,457909,54972,382623,28711,71,30253,637416,767906,17117,493794,8527,1069037,1449371,359908,1009823,259750,83850,266067,2279,749285,315438,801625,148463,203339,749091,409684,254552,33827,71961,267474,80228,167094,1355137,346047,42556,1310670,0,404966,39061,515464,1568060,20828382,356148,346161,0,94934,458442,848129,484239
7,2009,14505,630969,264083,413260,52403,350224,26265,331,33938,581517,723449,17083,444574,8443,1014972,1365413,356079,937106,252519,92056,266860,1652,735907,328678,765617,141675,172812,678673,423267,249593,32844,59563,306162,83812,155965,1267267,373271,33150,1223937,0,371981,37480,477713,1497854,19691342,364994,334605,0,84048,425941,742922,473912
8,2008,14705,842826,278849,458727,63050,385416,45188,391,60891,693161,885849,18095,485218,8604,1103163,1558078,371804,1024816,262470,106897,309294,5908,799969,359359,792918,177166,203260,794693,424615,234654,40241,97671,284346,88619,228985,1438432,391688,41408,1421091,0,445454,43098,643796,1605925,22382816,395878,415102,0,94601,480712,955628,500109
9,2007,13662,888436,275037,438524,66495,388586,39931,502,63839,720824,934773,17107,465167,10261,1091382,1572084,396333,1020709,249800,120168,327979,6583,801178,366208,802879,185063,202480,827974,420719,216872,44899,111799,296067,82871,258450,1463773,373217,45461,1491907,39,444046,33256,672766,1609155,22747914,391386,458200,34,95737,465083,983259,494955
10,2006,14981,886678,256907,431985,67017,394348,45722,0,56625,696215,892732,16102,435187,8212,1045398,1587100,364212,1023263,265214,112173,324657,6618,773595,370814,829054,190057,194307,777871,414838,227444,44807,116093,316221,84225,256345,1450797,384418,26895,1499292,49,432220,39570,677174,1610301,22444214,382757,433606,27,69150,462732,958880,489325
11,2005,13994,890098,247169,428445,67422,386670,42023,939,56716,672309,901010,16506,429777,11286,1047532,1594399,379823,986263,253518,119333,329304,7059,799463,379114,835663,176286,199495,811939,431133,228667,44169,125332,317916,197799,256879,1481045,397379,35624,1490836,76,431086,36952,657711,1627863,22793450,405546,458452,25,112284,522521,959657,490940
12,2004,14075,853917,270210,425413,68909,390186,43997,741,53599,699055,834991,17913,443221,12336,1069538,1614210,385498,961759,256716,105075,327239,7336,773825,378775,807466,184992,195620,782692,398381,223624,43446,112707,309418,193634,276470,1391290,372093,36460,1474310,76,433868,43562,648005,1626029,22464302,399704,452557,25,112539,499212,937062,500526
13,2003,12552,873735,253653,406537,69469,394163,41864,173,46997,723832,819031,18044,444587,10219,1010087,1570700,389464,943652,247978,109373,329590,7481,747940,390691,795634,178949,188981,771618,420832,227290,41633,106857,305641,182553,286179,1443498,393790,44884,1461986,101,419663,43017,621425,1603971,22322634,379185,464353,25,118207,488239,978415,493897
14,2002,16429,845999,255242,406479,70010,390480,34206,99,40536,719670,807121,16618,441534,10194,986832,1547530,391664,950941,232109,118358,325834,8000,739866,360822,725679,154339,166322,770928,422809,217939,39845,104849,284132,164775,280584,1396899,391379,37751,1457349,76,404455,39957,655906,1550325,21902852,370551,482759,25,100832,491990,993467,480360
15,2001,15911,842337,273982,424023,67839,400028,39991,741,38335,725890,772021,17774,443921,11395,983729,1569235,354647,1013055,239990,109014,318851,7875,789703,353305,716378,198275,184401,756311,420001,226691,40125,112207,297096,188572,306993,1362828,376112,43365,1392203,50,414459,44372,687352,1492977,21906355,384453,487601,50,99441,494043,866590,499817
16,2000,16455,904181,267579,432810,70012,387879,36246,177,50147,760439,819530,17653,445888,13732,1016555,1595037,362797,997621,253263,114658,312162,9980,799800,373775,688905,147481,176779,786114,424563,206938,44033,114734,305513,199339,330844,1428454,381089,38700,1508091,52,432195,50602,705059,1548184,22575538,403068,506961,26,106240,499233,977817,506147
17,1999,16394,866512,267022,403262,69547,364236,15231,151,35915,716280,782617,17691,432009,7976,958832,1477167,329308,987592,227687,113610,305186,6864,832638,341475,687170,137608,186770,742398,411323,198490,35408,88984,298105,181616,317998,1382205,360598,38604,1414957,41,402153,46304,648342,1530426,21582103,384060,444542,2016,96875,480722,993017,496169
