,0,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,United States,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming
0,2016,580535,1679179,890646,1227528,5756726,1292999,555534,49683,224891,3461871,1990260,251540,1047863,290596,2992746,2494071,877055,1619377,3742298,1021931,840754,247732,2252402,1325791,1538113,1106494,406954,1740813,667826,652171,210960,1780146,694804,591960,2669996,2941133,1496139,601791,3243955,164738,1028920,227444,1431602,11884388,78716797,813456,1562111,91200,1202963,1383940,1141555,746360
1,2015,598664,1719290,841389,1259504,5784126,1304030,583113,54457,217518,3470805,1989616,254332,1072676,286843,3099042,2521766,900727,1668513,3698284,1043133,865952,254332,2326126,1297505,1588964,1043428,422796,1724673,705021,673634,233399,1795795,715091,571405,2739351,3020575,1525249,598693,3360875,183632,1037978,219607,1384683,11859464,79431418,856897,1533043,94955,1138084,1422268,1113191,774703
2,2014,585091,1723400,940525,1257932,5689677,1320556,561912,55539,213995,3344219,1984430,251940,1143389,261688,3312239,2710118,967867,1755106,3634859,1010090,878269,253216,2322132,1392016,1696723,984014,425396,1771702,727596,693846,226867,1815676,712749,571900,2755449,3222272,1545374,589871,3528120,179171,1022347,232802,1417144,11660757,80335359,877447,1503440,91139,1095464,1442819,1190912,805712
3,2013,599255,1689343,938207,1290438,5750770,1302716,559161,52590,214022,3277185,1927866,253078,1131040,272000,3254109,2632381,961296,1720031,3661297,1031686,846274,253043,2299261,1333153,1687429,941722,422531,1737034,701293,707122,215276,1715022,742132,571103,2628063,3155124,1535672,608378,3462261,171428,977742,232341,1343802,11751441,79537209,898943,1512265,89114,1115808,1419985,1120724,840676
4,2012,632812,1740180,917867,1249496,5690504,1283430,544806,48861,221102,3330716,1948766,256873,1085312,248437,3046054,2561898,911555,1744180,3770675,982814,857022,244708,2178667,1281644,1621815,989550,405539,1658327,679893,668511,224744,1658604,745965,550006,2592406,2977136,1565809,575392,3313165,177997,1014290,225294,1355446,11140683,77521863,830946,1434389,84155,1051516,1284162,1091751,822010
5,2011,639233,1783930,933128,1255904,5553992,1306489,558185,55713,201573,3362205,2145489,265749,1159166,248320,3215695,2712633,969059,1858157,3899196,1074181,901008,268292,2246386,1330399,1718726,945118,422742,1710086,653654,691278,243713,1808650,768900,531330,2620645,3181719,1575701,573340,3404910,185398,1080250,219220,1427587,11033838,79488745,860311,1434087,89148,1044892,1361666,1147838,798810
6,2010,638054,1785605,909911,1294117,5746063,1371411,562947,57964,171396,3495646,2327147,259175,1191038,251460,3228271,2770323,995844,1884399,3855350,1108715,963779,277373,2297057,1337659,1720132,999384,447161,1874985,622754,666996,243156,1786882,738226,579173,2733488,3296612,1570359,629088,3462633,184766,1126748,226454,1461760,10804585,80889167,849269,1538396,90523,1118038,1362462,1174205,806400
7,2009,624004,1616408,848957,1290470,5859162,1343445,554500,57197,171701,3244666,2194257,256546,1148739,240653,3173965,2627541,996449,1794419,3633639,1073197,980342,278447,2293042,1330347,1679585,913849,432394,1733522,603518,632343,249365,1730521,781685,605787,2711932,3166937,1561134,638134,3314430,186688,1084091,219477,1358786,10101667,78056484,853943,1478445,93326,1138605,1339038,1053756,785244
8,2008,637503,1824747,873000,1412231,6096996,1381399,555629,51661,223597,3384799,2270680,257509,1209120,251986,3384723,2893709,1014707,1905673,3842130,1145441,1020565,282683,2436176,1439665,1768269,964633,473582,1930539,622446,627601,275624,1950974,779600,623256,2917269,3496915,1644119,672877,3583247,180980,1125231,221557,1598539,10556714,83188681,912984,1598053,86292,1169917,1455637,1297325,817404
9,2007,709028,1921281,864991,1412889,6334291,1415844,601225,55944,233748,3606001,2444383,320974,1152333,256893,3387641,2951834,1092717,1948328,3819382,1187927,1068823,307484,2537825,1442245,1813054,1021641,484233,1995132,617800,600014,275042,1995263,814526,631678,3037525,3585585,1614841,680863,3677244,177485,1160931,205073,1677013,11212201,85949172,922324,1749379,95792,1196463,1454860,1343473,810515
10,2006,733014,1900475,856790,1380283,6232102,1360715,613685,52330,224177,3634166,2416683,311827,1080308,252733,3284570,2948043,985347,1941105,3746719,1139143,1053010,309570,2518412,1410901,1824405,975965,463827,1927390,601558,588021,277415,1858689,812327,633217,2934346,3512572,1614136,638085,3615893,169108,1166364,196812,1693741,11294039,84566642,891352,1676563,96907,1136164,1429893,1321709,769251
11,2005,781829,1860797,822384,1331932,6115421,1355314,657592,63369,240843,3609979,2450179,310614,1071089,249247,3426160,2990349,980598,1925961,3602529,1243449,1145584,335943,2707276,1453089,1852077,943241,453599,1997622,617490,577874,307662,1977285,798068,709603,3172408,3623658,1556469,649974,3710001,179787,1157282,198161,1679403,11286024,85718219,862094,1769449,99033,1153511,1535462,1316091,759172
12,2004,756177,1856239,849511,1340408,6204346,1322498,661553,64390,230854,3552925,2321866,300992,1057896,247182,3312716,3006306,1059341,1900199,3722004,1225441,1119642,357353,2693277,1430093,1820898,956258,440391,1946711,587994,573534,312854,1922599,794602,675588,3227652,3558113,1455006,643204,3673927,172889,1173494,198542,1652678,11880701,85765039,841464,1734492,104101,1132016,1491919,1296909,765533
