,0,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,United States,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming
0,2016,104844,18025,8535,24912,672597,52533,9523,0,663,155372,29261,74301,5535,5488,161010,50198,8724,68015,166097,60868,8772,6524,22780,27301,16626,97172,5397,14942,5593,7516,2462,187233,7238,35011,201171,67386,52585,28601,69246,4059,11693,4950,76520,477636,3349876,39374,61467,1644,118160,10033,1185,3097
1,2015,102899,17838,7210,21835,637636,52508,8701,0,697,198636,23519,76095,5551,4655,150729,46383,9108,61398,177990,36519,7964,5372,21976,28194,18337,59477,5404,20467,6310,6479,1978,220632,7253,30326,177608,70799,48167,26803,42599,3789,12119,4845,67699,448448,3204168,35174,63468,1456,106268,10911,1174,2766
2,2014,96006,14212,7787,21498,595279,52644,10625,0,627,186016,21731,73270,5655,4096,138153,46653,9315,53116,132941,33726,6567,5839,22574,30430,19502,64147,5523,48930,5587,6116,2081,223886,6565,28266,164233,70748,45084,26195,39717,4026,12092,5686,64176,411779,3042091,32412,75025,1223,95005,11091,1225,3011
3,2013,107338,13223,6023,20964,563067,53545,10776,0,724,180214,22599,64201,6078,4252,137555,46721,10122,48539,123635,35749,11121,6313,22052,33094,18629,56580,4960,57433,6553,6071,1941,204581,6217,26931,154792,75229,43990,25895,41516,3929,11613,3767,63615,386660,2968557,36283,100092,1292,89675,8897,1190,2322
4,2012,113205,12436,5603,21615,535670,60107,9634,0,750,188058,63801,64135,6242,4118,139866,48301,15641,51032,108181,37792,11905,6663,20573,50874,19481,38415,5306,22221,5616,5112,2063,179233,6535,25397,146415,71864,38859,25469,46377,3948,8535,5225,65061,353969,2901435,31592,95695,1298,109749,8478,1117,2200
5,2011,118226,13350,5923,21530,549718,58276,8818,0,549,202545,99322,62077,3761,3605,144288,51237,16735,56333,107612,39734,15339,7325,18215,53142,20003,35115,5212,10196,5782,4682,3536,253433,7043,17288,87624,75688,46689,25489,46500,4260,6102,3449,69483,350447,2949817,32698,72389,1312,92909,11348,1149,2334
6,2010,128857,11948,5588,20903,544252,63841,8469,0,542,199449,104952,55775,2793,3256,144846,43109,17205,58591,120724,36419,16725,8719,20772,51487,17733,32905,5264,9230,4621,4678,3341,227196,7270,21332,83736,75755,38672,24463,70572,3621,5484,4070,69954,350878,2962870,33312,72049,1261,109197,13078,1155,2822
7,2009,106292,9887,4537,26569,555575,61474,7981,0,452,178473,102190,52748,2978,3267,141578,42255,13872,55814,91136,35182,18957,6976,24210,52162,20608,27518,4492,10509,3896,3950,1919,195164,7587,27701,95030,72258,36556,36995,70738,3935,6101,4008,63384,350451,2883274,32611,88978,2901,103719,14134,1125,2442
8,2008,135044,12299,6152,38348,571739,74632,10818,0,665,218979,35912,60679,4459,4774,158721,35514,9839,42101,110420,62711,21749,7946,26315,58052,31671,23270,4719,29626,3478,5036,862,200045,10197,43756,122799,102049,31701,30979,81845,1698,9926,3736,71836,411165,3192839,36907,93669,1509,114024,14956,1286,2226
9,2007,164732,13162,6951,37490,628200,76713,11656,0,640,176686,38138,72329,5100,5120,167682,42240,8747,45239,127099,46694,19970,10008,29881,63930,35940,24756,5817,40601,4026,5489,860,207150,11019,52206,113268,102880,30023,31923,87904,1900,10666,4991,78310,427566,3357610,40173,107868,1799,115957,12630,1336,2143
10,2006,180003,13113,6706,43776,603307,73637,12752,0,819,156669,37148,86945,5856,5563,162039,44595,9937,40283,131906,47552,23497,10149,23386,66751,37274,40242,5925,30182,4169,6013,919,191224,13344,48487,115336,104813,32097,32685,93356,3362,10235,5359,80553,461834,3379382,42863,106649,2132,105393,15583,1312,1656
11,2005,181100,13982,7094,45463,593148,69852,13955,0,949,158140,54295,92831,5614,4641,224108,39408,9965,46969,160208,51171,24734,8081,19454,71761,37419,33464,6307,41765,3662,5297,2564,180501,12942,46248,113488,105546,33814,30628,95404,4675,9123,5647,78901,455765,3474752,41923,106850,2397,104784,16207,1351,1154
12,2004,175506,14481,4096,46810,597665,70045,13505,0,944,165825,52033,75861,5158,4661,122172,48526,17602,51268,203211,46691,17801,6169,21167,70905,22675,34697,5716,30602,6199,5206,5128,141963,12892,44881,109431,105662,39114,28902,92878,5870,9390,4402,77241,503613,3382535,40468,94997,1752,108974,14976,1431,1370
13,2003,155158,14564,4660,60388,565418,32045,11954,0,808,145454,49837,72056,4494,3890,75780,53057,18305,45619,216160,36264,13285,5228,15281,67912,45635,52123,4717,29744,3163,6834,5342,146857,13825,43382,97909,100272,35380,31692,99071,5986,8273,4359,75840,574567,3265457,38319,64983,385,99184,7573,1485,941
14,2002,143166,12797,4500,58649,582624,40433,12482,0,704,153289,42128,57774,4433,4494,77014,61109,12107,36021,213636,31801,9739,3806,34112,62734,54062,40957,4354,27357,2996,8656,4760,164052,14231,46234,87479,99161,36478,29344,96423,7294,8778,5210,76218,655440,3340318,36381,56444,366,102489,13001,1412,1189
15,2001,137600,13283,5876,56211,551216,43763,13356,0,734,173830,56150,50437,4404,4103,105827,66694,12807,34027,195386,39710,16606,4038,35263,65702,42483,47689,4289,34311,4260,6312,4990,192506,17381,47706,83091,105343,39925,29580,107030,7396,10496,5486,71223,639834,3425975,39010,56591,682,123692,14687,1085,1874
16,2000,146698,13312,27600,59156,584018,42993,14739,0,592,199207,73968,53511,4373,4989,128702,79413,18339,37711,200710,46516,23292,5148,40904,75418,27815,51053,4234,41263,2344,6981,5539,208548,17109,51953,53957,105776,38627,35592,107780,7273,10552,5803,72898,582403,3580350,43663,56377,817,140195,17798,1070,1623
17,1999,134117,11129,25941,54588,559477,44227,13926,0,598,164300,86840,53720,5016,4854,103450,63492,19706,39477,192873,45819,22326,4899,51688,71392,72349,54760,4739,38566,2294,8870,4647,206063,15441,47369,51719,93311,37287,36498,90395,5992,8707,4365,66998,594762,3461781,42200,52811,812,125620,19316,1045,989
18,1998,124199,19985,8665,49197,598083,38547,12556,0,491,161643,85888,56695,6722,4072,74641,54749,12242,30343,162556,43861,22247,5274,51218,60722,72339,43603,4523,38337,1198,6132,3456,210376,12462,38109,83916,78460,30322,33262,94865,5216,8151,4644,55928,615962,3356783,36167,57788,687,124055,10580,992,657
19,1997,119680,12379,8727,45232,585074,40692,13447,0,415,173048,86407,57955,4497,4308,70887,62347,12080,25840,172771,41398,23233,5409,53793,61755,69882,44881,4493,40571,1072,6097,2314,219736,9930,42858,68822,71496,29813,32447,84024,4694,7530,3954,53506,599046,3308167,35603,53333,601,127369,11056,977,688
20,1996,105753,19886,8695,44912,588383,44009,15412,0,352,166379,98047,57194,4641,4916,68471,71303,11390,31691,164587,38969,22096,5051,51281,60244,68790,40575,5650,51749,1393,5712,2043,243820,9152,44466,65384,67810,26670,29681,67078,3060,7324,5702,52820,566221,3274239,35705,52183,563,126535,8674,964,852
21,1995,95925,21763,6668,43015,540351,42002,14108,0,429,158987,104604,56358,5932,8610,58738,98335,13674,35726,163553,37621,19447,4762,49994,56524,64773,42922,5881,28044,1865,5671,1885,283835,12580,41798,43627,63695,30316,28994,69808,2830,5812,7941,45882,470479,3132195,31848,60029,718,130373,11589,984,889
22,1994,91158,19608,9069,41933,560139,44870,13895,0,3048,162149,95890,53705,5051,6614,54438,97990,11013,35900,182560,42105,18248,5603,58158,55413,60190,38191,4777,24526,4610,7028,1920,274198,14599,38620,32320,66059,58109,26356,66526,2995,8093,7065,43961,472453,3154499,29684,67957,779,121686,11133,1260,848
23,1993,83243,10975,5651,44237,504728,50698,13087,575,7740,150324,85809,50409,4051,5915,51856,92661,20228,32273,142013,43693,16802,8268,58148,53468,51166,47012,5030,27231,6787,6419,2158,272762,18310,36501,28703,60201,50489,24382,66687,2976,11077,6444,37166,492026,3028007,31066,67289,688,125597,10774,1431,783
24,1992,82920,11695,6204,46426,489548,41642,12966,0,7798,137513,69963,56501,4517,5346,41812,90535,23197,38943,152268,44525,17104,10543,56998,37491,42583,62187,4810,25964,7598,6623,2105,261182,15590,34402,29894,60069,72751,22663,61884,3140,14102,6871,25313,509100,3001330,31491,65904,639,135960,9689,1509,851
25,1991,96115,12641,9737,53729,508108,36834,12683,0,12864,140792,81492,62557,5014,5256,36343,97474,18314,36044,181872,52848,18383,13160,57452,28165,42474,45491,3476,24297,5228,6598,2596,246995,13484,36505,29551,58819,59061,21135,64284,3700,18709,2010,19266,512815,3025005,33220,66713,898,120246,7571,1317,671
26,1990,97938,10551,9246,47306,534666,34551,13262,30,7019,179552,104173,71051,5018,6276,22258,101264,20719,32321,146081,55460,20293,14015,56571,28869,37627,38957,3968,30817,6380,8291,3553,262604,15998,34020,30433,59911,43793,18750,68164,4385,16048,5931,23613,542139,3129491,29740,88527,1002,126021,8000,1527,798
27,1989,104707,11362,10582,45292,507761,30161,12675,0,6752,188500,98511,74414,4220,6782,25301,99343,21457,28676,125817,56606,24489,12423,51838,26376,41173,36913,4180,42821,7234,8163,4136,249930,15607,33917,33833,58732,51672,19083,54648,4093,16941,5535,24599,526931,3058904,28635,88263,1232,116024,7528,2135,899
28,1988,95153,10363,12161,47010,464177,36524,12190,31,7337,179304,114601,67174,4005,6436,22224,93585,23424,28168,120737,52735,24990,11552,48130,29096,41340,45043,4532,46372,7101,8249,3940,231054,15371,35606,27390,51997,40203,17997,66232,3593,17528,4735,23886,535498,2981766,27952,87937,792,116309,7528,1391,1081
29,1987,83605,21710,11271,46404,448773,47376,10078,1,6924,148422,111178,64386,4378,6316,11124,108294,24086,27261,106348,44421,20955,9895,46933,32014,42231,43060,4038,43193,6775,7508,3493,245222,16356,35674,16002,60983,41444,16501,59579,2980,17339,3638,32142,477555,2842819,27909,80893,1007,104712,8121,1181,1133
30,1986,91239,21001,10442,42580,422108,45635,7094,2843,7221,140079,100095,56962,3340,6100,11455,105305,39691,20022,100526,39104,21646,8801,39920,44171,37966,27514,4841,39696,8884,7402,3345,221836,15210,33036,20759,56028,32939,14758,56082,2186,17195,2829,33492,453003,2682354,24286,74059,739,96086,8775,1223,806
31,1985,85766,19700,11036,39421,375832,44460,6126,40,8445,129159,91535,74436,3319,6095,15375,87375,24845,19342,71978,39493,21674,8932,36719,44061,33307,22943,3799,37024,9065,7424,2814,248558,15670,31655,21351,40589,32485,12073,57259,2806,17237,5506,27461,420547,2496888,21269,61653,1107,86610,9344,1308,861
32,1984,85459,20699,10950,44211,373501,48114,5668,221,8540,135631,94439,72629,3443,5914,15014,87366,18696,18385,71366,39009,20291,8266,33373,41512,31760,12829,3594,35500,9200,7592,4473,239866,16377,32862,21514,38465,38961,11055,59192,3225,16627,5524,20509,364336,2413720,19050,58360,965,87938,9012,1345,891
33,1983,68702,9087,8672,39107,321471,34675,5397,613,7382,169176,92987,62471,3311,5216,90212,24702,8239,22612,61375,41183,21119,8184,32875,22872,30877,16435,3658,35583,8060,8135,3087,209812,14382,37610,21055,32764,33117,10030,51754,1854,13684,5167,11574,266030,2140915,18321,60838,575,72087,10371,1547,867
34,1982,64877,8740,10949,42564,316702,31400,6071,1904,7970,189266,84986,41635,3561,5697,94161,24488,10190,20870,45836,41644,19851,8678,31821,24098,24716,18533,3502,31794,8544,7948,3425,193274,14314,37448,26965,30881,32793,10079,48766,1579,14840,6132,12871,240661,2071522,15578,61880,497,71853,11822,1665,1204
35,1981,61242,9717,9460,41601,331343,31036,8928,3210,7960,199981,83566,56165,4026,6701,95786,15928,13645,18203,43750,45219,19659,8427,34255,25544,26815,9487,4493,29380,8817,8010,3146,102199,13909,39250,143497,32370,27642,9564,51009,1701,15529,6133,19661,173399,2062194,13475,62914,452,67819,12868,1903,1399
36,1980,54034,11305,11046,43937,354212,26678,11156,1867,8450,201566,92569,79244,4569,6815,111291,11996,13788,16323,48390,48493,19549,10238,37150,29082,35453,8333,5174,28680,9220,8687,4184,49300,14565,40371,203294,40645,26897,13926,57409,1959,16583,7099,23435,173277,2190406,14622,68753,860,67514,13508,2002,907
37,1979,47709,9468,10447,43360,369648,34185,13481,15,7632,175115,96790,85912,5857,6226,137790,14466,10715,14486,41168,49435,18021,12173,37131,31940,42357,7937,5093,23800,9881,10500,4173,47721,14480,41283,202201,38376,25119,14875,55965,1759,15906,7190,27652,163989,2203632,12763,67650,955,71351,14602,1818,1063
38,1978,46496,9929,10418,40987,362559,46923,12037,1,7613,157219,86010,83578,6349,5561,153665,13956,8351,14418,31163,47940,18383,12859,36310,28813,45935,7430,3910,23809,9935,10987,4525,44046,12805,38495,220097,39821,26200,14320,50667,1463,15458,7222,26447,156521,2163806,12062,69110,745,64309,13373,1591,986
39,1977,44445,9807,10994,39602,354272,44686,12257,0,8950,153119,79759,83618,5646,5352,153644,14928,7863,12518,30221,49650,18939,12690,35000,29829,45065,8152,4322,22405,10312,9762,4943,47306,14203,36311,221712,38693,23047,13030,48084,1175,14774,5876,24718,149255,2126482,11317,70263,759,67741,12954,1673,839
40,1976,41620,9143,10322,36798,342150,43737,11008,0,8492,140717,74784,79834,5425,5348,144486,14636,6812,12152,28484,45454,17389,10583,31876,30068,44545,7756,4214,20329,9738,9328,4709,38070,13350,34379,218202,35908,21851,11606,47739,1358,13843,5476,23178,143321,2025995,10159,66968,787,72860,12682,1593,726
41,1975,41663,9427,10800,39039,350711,40438,12014,0,8876,135654,72565,83464,4686,5181,140241,14602,7204,12094,33871,45316,16937,10826,32080,31859,47037,8019,4581,20821,10025,9235,4923,35095,14611,32658,218518,33912,21533,11736,48368,1528,14545,5718,22214,152662,2047083,10571,64932,984,78756,12475,1387,693
42,1974,41920,9407,10973,39849,337622,41545,13771,0,9421,132338,67222,83633,4199,5364,142544,14393,7723,11436,44074,46508,18042,11715,35916,31379,43243,8357,4364,21331,10485,9889,5205,39612,15046,30998,216190,32603,21971,12489,50664,927,15112,5962,21650,144861,2030373,10339,63833,1134,68923,12132,1139,922
43,1973,41496,9274,10879,39858,352492,43641,14198,6,9286,156424,79842,92860,3979,5133,164788,15907,7703,13323,32711,51088,20380,13245,38763,29337,45377,8223,4235,21394,10019,9148,5164,45734,14911,31122,245537,39159,22078,13475,52207,982,15096,5793,21416,148192,2167221,10483,68921,1220,65828,12910,1069,914
44,1972,44997,9371,11771,38219,355936,43864,15896,16,10219,160710,65845,91261,4088,5347,157649,15694,7974,12404,32406,50376,21399,12848,38373,25608,47337,8676,4255,22603,11017,9435,5687,47813,15633,29327,246073,39087,22711,11764,49039,978,16785,6143,19385,144398,2140842,10879,65135,1422,59594,11379,1104,912
45,1971,42436,9815,12362,37050,350342,43449,12386,6,10902,146962,65990,91531,3656,5457,136048,14995,8374,15043,32787,48883,22839,13463,39964,22522,45389,9037,4279,25918,12008,9926,5821,37516,16344,26822,222050,36151,23988,11687,48371,699,17578,6510,18788,139442,2060819,10768,65863,614,65424,10571,1276,715
46,1970,37702,9904,11885,36391,332941,42259,16392,1,11093,133162,58971,80060,4057,5198,128157,14213,8587,17404,32604,44476,24969,12510,40959,19723,45678,8743,3610,25744,11174,9773,5652,37500,17027,25323,216737,32818,24021,11770,51383,766,17120,6330,18791,135936,1972743,9989,61882,666,59323,9046,1616,709
47,1969,36471,10233,13792,40765,341090,38833,14874,56,13194,142023,55805,78939,4157,5874,120894,14583,9240,17075,34348,42275,25768,13113,43264,22733,44485,10046,4487,26979,13551,11157,6675,40299,17756,27293,217885,34755,25511,13343,48687,691,19674,7500,17574,139242,2016832,11024,63930,654,62191,9514,1654,876
48,1968,28350,9872,15425,44162,336577,36036,13197,2,14945,134936,49283,77451,3611,6481,113893,14998,9524,15538,33423,37068,26303,12975,40963,18835,43816,10977,3858,28541,15031,11576,7781,50551,20287,26378,196216,32129,27510,12078,39924,740,22048,8243,14396,133917,1941094,10905,60490,686,59376,7575,1378,839
49,1967,25272,7722,13427,38384,292394,30582,9599,8,12861,116703,40286,67277,2601,5520,95433,12849,8782,13179,30083,30599,21978,11112,34181,15839,36677,9165,3170,24369,12802,10074,6877,42230,17255,21479,181621,27847,23993,9018,32139,503,18571,6880,11423,116822,1670229,8548,52205,634,52244,5268,1084,659
50,1966,20621,6428,12023,32417,244527,24293,8704,1,11955,97705,20402,52755,1629,4997,70807,10509,6207,9322,35104,21025,17912,10095,28170,16670,26546,8197,2424,21064,11541,8189,6152,35115,14833,17100,146802,20452,20704,5323,21565,431,16703,6224,8334,97167,1353654,7795,39913,504,41261,3518,975,542
51,1965,16517,6238,11215,30065,222196,19286,7963,2,11188,97201,11589,42262,1258,4668,68786,10161,5689,7159,33784,17834,15747,9702,23957,14801,20445,7839,2103,19703,11099,7411,5876,29381,13687,16287,133236,17014,18716,4538,19187,265,15849,5954,6526,84342,1214502,6774,35784,426,38164,3518,706,405
52,1964,16395,7134,13764,32458,199588,14863,6585,0,13474,86370,13631,37911,1360,5529,56480,10321,6697,5602,29977,13549,14827,11758,24110,8885,15021,9346,1953,22356,13157,8241,7107,21899,14958,18136,105593,15364,20499,3465,13131,248,19420,7142,5643,84507,1120761,7043,34584,502,36170,2852,800,359
53,1963,15800,6915,13164,31014,184117,12765,6784,0,13008,78877,13315,33588,1285,5325,52519,9855,5744,5024,28228,13505,13957,11463,22538,5733,12640,8847,1843,21790,12727,8028,6922,19654,14382,16859,98400,13939,19930,3290,11773,241,19076,6912,4729,79790,1043682,6685,33085,532,33406,2603,745,329
54,1962,15493,6897,12836,30281,174310,12143,6713,0,12613,71176,13095,26015,1221,5237,42721,8981,5583,4520,25130,11578,18442,11187,22348,6198,12461,8580,1676,20716,12362,7879,6737,16622,13788,15977,92702,13609,19373,4261,10189,238,18429,6718,4343,76442,976887,7112,27026,475,31349,1970,828,308
55,1961,12803,6148,11924,27428,153376,9229,6187,0,11672,58079,12666,26540,1074,4858,31699,7751,5195,3128,19856,8675,15998,10375,19143,4120,9837,7973,1509,18642,11452,7039,6259,11789,12461,14220,68235,10714,16764,3444,8074,226,17011,6233,3613,63946,826805,6344,24352,443,25793,1414,796,297
56,1960,10632,6051,11996,25325,140653,2574,6363,0,11482,51488,12399,23519,1043,4822,24435,7127,5097,2689,17359,6729,13465,10197,18200,2595,6968,7847,1425,18244,11260,6439,6161,11465,11705,13208,52639,9806,15654,2108,5744,205,16783,6134,3098,58554,738522,5390,24035,438,24409,1341,925,302
