,0,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,United States,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming
0,2016,13255,14594,10425,1082,168920,9163,952,0,15340,2955,7272,12304,2700,203,94780,39245,31404,28554,592787,2676,3016,0,19144,34095,3969,32385,17109,6619,7783,634,372,48111,10563,654,4450,65109,44314,1622,57835,167,9725,27,41700,919324,2479986,17130,2785,167,54493,8488,4478,15110
1,2015,12916,14405,10232,1115,164563,8957,958,0,14969,3034,7522,12005,2738,199,91842,38294,28904,28080,593945,2737,3166,0,19114,32570,4121,30541,16571,6765,7598,626,393,46953,10646,679,4565,62560,43328,1686,59036,177,9682,26,41111,895765,2434536,15471,2860,177,53239,8548,4400,14747
2,2014,17532,13470,10137,1179,163767,8885,983,0,14793,3167,7914,11866,2797,207,91762,38035,28622,25418,608268,2849,3371,0,19174,30873,4362,30257,15173,7034,5942,623,422,46232,10539,713,4748,62886,42923,1791,58605,189,9555,31,39597,884516,2429690,15109,2964,189,52588,8787,4294,14554
3,2013,21364,14149,10644,1135,174826,9611,947,0,16092,3026,7553,12925,2661,207,97392,41151,30991,26891,609761,2727,3201,0,19066,33338,4167,32844,16526,6733,6134,597,399,49135,11720,695,4528,63615,46505,1713,62404,178,9015,34,39410,983066,2583051,15922,2813,178,57082,8838,4296,14844
4,2012,22644,18334,9944,463,154758,9749,685,0,17123,1113,2935,13680,1010,66,91715,19703,31969,26554,669979,1024,947,31,14241,33294,1338,34174,17452,5223,6380,212,59,49251,11746,251,2305,54528,47561,633,47205,74,3193,31,32100,916133,2473650,16039,1961,0,59400,5307,3450,15686
5,2011,26391,18381,9799,520,173703,9524,735,0,16729,1310,3318,13357,1085,65,89378,34900,31235,25234,761717,1161,1142,30,13147,32950,1503,33444,16950,5570,5538,213,80,42268,11424,282,2489,54238,46499,716,71139,89,3281,30,32108,928030,2621385,15263,2259,0,58002,5464,3438,15257
6,2010,26121,18028,8920,550,171378,9349,757,0,262,1425,4744,13093,1124,74,88058,40371,30649,22985,817458,1243,1220,34,13132,31091,1614,32837,16609,5632,5270,219,92,41527,11199,294,2551,53414,45596,762,72780,102,3232,34,31346,919975,2644509,14983,2365,0,56751,5234,3342,14680
7,2009,24427,17309,8307,637,158042,8520,800,0,243,1791,4140,12073,1181,53,83296,37455,27741,22522,759170,1461,1640,25,13190,30590,1849,30431,15324,5951,4940,188,142,39148,10301,371,2756,51116,42378,897,68424,130,3109,25,29639,865659,2483296,13096,8361,0,52403,5355,3137,13554
8,2008,26960,18422,8080,939,172890,8581,1054,0,15151,2869,6111,12108,1583,83,87283,38371,28074,24546,985470,2222,2574,39,14982,31672,2811,30894,15309,7378,5111,216,257,52257,10889,545,3614,56016,42689,1347,71235,229,3261,39,29573,863852,2787674,14138,9609,0,52966,6779,3042,13558
9,2007,34723,19167,8853,902,195233,8948,1020,0,17094,2740,5833,13692,1540,95,96409,43098,29243,26582,1038126,2139,2406,44,15717,36087,2725,34766,17312,7046,5711,224,241,65037,11295,535,3464,61105,48980,1292,79120,222,3135,44,30700,1050847,3133773,15919,9956,0,59668,7026,3172,14541
10,2006,35836,18960,9111,885,202772,9268,1025,0,17659,2646,5679,14148,1557,113,97578,44504,29668,26695,953949,2099,2255,53,15600,35910,2702,35870,17440,7017,5865,248,224,66844,11673,506,3442,61448,47708,1264,81212,218,3229,53,31492,1257111,3276055,16383,9542,0,61233,7091,3258,15015
11,2005,34304,17335,9177,447,196607,9044,661,0,17305,3014,6113,13547,1313,119,94372,42952,28738,25981,856791,2137,2892,66,16307,33342,3116,34602,16642,6063,5383,203,150,68244,10571,362,3931,58024,45317,811,77349,186,3087,119,22490,1247336,3121512,15693,4248,0,58831,7185,4744,14259
12,2004,32531,14575,8681,420,185719,7964,628,0,15877,2746,5512,12847,1217,117,88289,40683,26995,24446,912219,1939,2473,64,12997,30373,2755,32855,15782,5646,5106,200,127,61219,10037,294,3673,57852,42781,726,73065,164,2976,117,21474,1335683,3205336,14882,8971,0,55081,6525,4583,13447
13,2003,33004,17230,8567,492,191383,8199,726,0,16288,3508,7697,13143,1498,118,91724,42167,27821,26305,808285,2477,3577,65,14938,31200,3692,33836,16146,6971,5223,208,185,66788,8774,401,4490,60900,43156,946,75443,216,3475,118,22727,1232223,3043196,14779,10229,0,55452,7637,4994,13775
14,2002,29028,16823,8260,551,178162,7532,807,0,14887,4089,8940,11927,1714,122,86936,39079,25551,25469,708764,2892,4405,67,15663,28575,4412,31022,14555,7973,4747,217,229,55190,8003,696,5112,58884,38971,1116,70497,256,3845,122,21895,1167565,2816309,13541,10600,0,51145,8169,5086,12213
15,2001,30740,15406,7984,525,185131,8137,770,0,15760,3584,7770,12686,1549,138,80690,40981,27272,25594,687586,2552,3553,76,14764,30288,3775,30177,15481,7110,5053,232,186,57432,8475,654,4606,58599,42161,976,73282,226,3538,138,22262,1152697,2793151,13940,10084,0,53698,7663,4845,12327
16,2000,23077,10469,8239,1139,136932,6554,2713,0,12135,6704,7312,9544,2810,100,83232,33621,20408,26880,650850,4166,4659,537,16489,22990,4355,23728,10727,7944,3735,106,970,45775,7141,460,9558,50886,31294,887,57655,208,1051,46,13711,1192943,2636210,9893,8704,0,40175,11815,1797,9084
17,1999,25467,11867,9214,1281,153012,7464,3062,0,13309,7727,10201,10500,3651,113,96432,37317,22399,29938,643548,4993,6410,525,19678,25120,5985,26598,11481,9312,4108,120,919,54623,7696,561,9840,60138,33495,1220,66152,284,1218,53,14620,1221792,2763563,10886,10282,0,43906,13861,1779,9403
