,0,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,United States,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming
0,2016,0,0,1584,0,62562,3043,0,0,8909,21120,3385,2150,2276,0,32780,32121,8085,40247,152845,0,0,0,19345,9280,11314,6639,14366,0,2364,0,0,20886,2905,0,6214,36580,10644,0,24387,0,9852,0,5413,173552,771519,5665,0,0,32260,3353,0,5394
1,2015,0,0,1540,0,52075,3288,0,0,8840,16188,3536,2150,2211,0,29266,43181,7815,45665,140027,0,0,0,18602,8827,15739,6450,15416,0,2288,0,0,20744,2823,0,8644,36948,10694,0,25424,0,13704,0,5237,173331,775809,5162,0,0,39441,4732,0,5822
2,2014,0,0,1509,0,63271,3351,0,0,8645,14134,3933,2094,4082,0,32328,35198,7387,38070,153150,0,0,0,21655,8506,10990,6331,13722,0,2207,0,0,20226,2773,0,5432,33715,9921,0,25031,0,9569,0,5048,183005,772509,5551,0,0,29862,6044,0,5771
3,2013,0,0,1622,0,63066,3571,0,0,7978,21643,4488,2156,3578,0,30743,34358,7243,39747,151776,0,0,0,13281,9462,9859,6784,14708,0,2452,0,0,18715,2967,0,8022,43381,11241,0,23189,0,8585,0,5614,189963,786575,4916,0,0,28742,6493,0,6230
4,2012,0,0,1775,0,65986,3156,0,0,8488,7035,5801,1927,497,0,27360,37115,8581,51130,138062,0,0,0,9938,9670,15806,7439,13998,0,2562,0,0,26952,3255,0,15325,49492,12282,0,24495,0,13762,0,5860,180852,802427,6298,0,0,35518,6526,0,5485
5,2011,0,0,1762,0,70633,3250,0,0,10145,19876,7566,1811,974,0,25988,37000,8529,45737,154024,0,0,0,8374,9185,13336,7385,14047,0,2433,0,0,32029,3777,0,14322,46423,11706,0,20835,0,11612,0,5567,162619,801741,6435,0,0,28700,10003,0,5658
6,2010,0,0,1808,0,65779,3138,0,0,7021,32113,8279,1612,1113,0,25322,35559,9127,62283,141445,0,0,0,8693,9005,20330,7578,12782,0,2386,0,0,22451,3875,0,15026,47254,11667,0,26859,0,17863,0,5457,165162,831425,6215,2523,0,34868,11448,0,5382
7,2009,0,0,1701,0,76657,3119,0,0,0,29587,7900,1805,549,0,24032,53348,9001,86242,119262,0,0,0,7750,8548,22011,7128,16720,0,2275,0,0,29503,3645,0,27422,60787,10946,0,38821,0,36587,0,8300,166878,937237,5977,3376,0,48119,11530,2449,5263
8,2008,0,0,1550,0,83283,2674,0,0,8580,33929,8233,1884,1157,0,23156,50088,8714,91930,113384,0,0,0,6912,9866,30203,6854,22450,0,2204,0,0,32623,3505,0,32864,63893,10607,0,36172,0,27576,0,31002,176564,1016972,5208,3013,0,48401,13424,20527,4542
9,2007,0,0,1688,0,100896,2871,0,0,8508,45947,9143,2244,1816,0,24106,48124,9669,93234,124375,0,0,0,9723,10613,31210,7465,23647,0,2312,0,0,31980,3817,0,31488,51196,11131,0,34953,0,27964,0,29446,202123,1072893,5611,2953,0,42837,13794,21223,4783
