,0,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,United States,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming
0,2016,19428,256090,125096,158237,1046744,152282,44375,2140,7568,294128,299661,31372,439704,142337,252287,173412,175165,90058,169614,88447,74385,140732,208731,266835,90295,75207,122364,222138,125212,161232,56933,87301,58296,97948,428475,142273,255672,466190,210587,7314,148719,142009,165880,787898,9965514,43904,161845,30869,931547,180852,51271,54453
1,2015,19209,284450,128400,147467,859490,128347,42537,1806,7844,303817,306863,28856,414543,144006,249554,169022,148095,90662,154049,85009,75222,154000,210883,262006,96136,75002,120226,209761,110867,158451,59455,86734,44125,84843,420146,145461,200180,440267,213497,7377,151491,132703,194853,655060,9415845,31055,166954,32922,880606,181712,51359,48467
2,2014,19826,290746,128947,138125,857583,130235,44364,1276,7942,295158,295703,27381,406267,155300,240415,157424,150276,93316,164968,85655,76526,163658,217572,267412,94693,75496,137766,207457,110868,144909,61405,89334,46598,75491,433162,155494,173340,491716,226558,7574,157408,139013,193821,609629,9537075,29267,165895,35413,955115,191406,56677,55495
3,2013,18664,332489,128612,119104,852365,121819,41645,1132,7470,298546,281594,25430,384807,140068,233177,151851,132080,92596,145677,80518,77408,167768,204376,239338,94658,73511,118143,226437,97494,136363,58724,84086,44906,73884,412764,152551,173410,469669,229007,5765,155175,127903,224946,554724,9244024,24781,150428,35971,940681,184572,60422,54518
4,2012,17719,263095,122947,114598,806824,106448,38492,1072,7045,286143,237723,21062,359054,155763,210966,144152,89102,77303,127241,72470,70741,161920,175942,239471,81957,86748,127655,185540,100298,132611,49871,76324,43728,63602,394127,136880,132293,505120,197382,5883,138523,140117,180673,520201,8709899,27637,133296,28467,1033778,174372,50561,54961
5,2011,15762,276863,131836,128112,940168,105341,42156,1283,7618,285684,245712,19799,346032,176702,199331,147327,78497,85505,131113,75226,78515,164444,171091,233158,89719,73957,142972,185524,104169,143817,50689,72161,41566,57378,431671,128734,110796,522687,206588,6610,134941,154651,189470,514661,9013304,30939,133116,31680,1074629,180836,50679,61389
6,2010,16537,264186,136161,100410,829172,79881,42256,1111,7482,286600,245076,17953,339562,131199,196928,137306,73868,80924,132929,73089,69804,161011,155291,223424,95425,73837,116571,186308,86145,128094,49525,71742,38564,55974,400500,122890,106332,403090,184581,6874,133528,130271,175334,454906,8131743,22508,140383,33089,835558,183330,48580,45646
7,2009,15685,273619,130201,95856,725204,78223,41546,614,6623,272639,220317,19488,288610,136226,178845,117153,65980,83846,117899,68876,66525,153433,148756,201424,90818,56254,116436,179704,63548,86240,49860,66124,32849,54084,407387,112726,91414,422303,163384,7387,121740,105826,191335,348267,7565808,20295,144680,34164,852793,152812,50820,34967
8,2008,12913,237119,125658,111600,679899,77268,36339,559,5774,242286,198118,19136,212372,132813,153749,97848,57572,70351,113455,60382,60049,186687,157469,177296,83037,49880,125419,167018,42794,84127,43589,50466,36306,44351,426529,114424,86853,418203,144875,6278,106692,81740,149000,346664,7134368,17728,140671,28797,897126,159172,33508,22412
9,2007,14037,228635,121020,97235,706866,50496,36034,736,4957,199580,205582,16769,176007,127359,122871,66013,35423,64542,150499,59409,58003,156424,139586,150544,60849,63930,119571,117203,31569,63425,38386,52739,31550,41982,389798,82117,81351,401317,119206,6364,97693,69247,125738,245403,6476870,14154,135561,18993,893358,141070,26783,18888
