,0,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,United States,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming
0,2016,14,429,371,52774,267101,9502,4105,295,1132,30191,10248,9765,586,389,2003,2388,124,364,1849,17487,6831,415,1076,640,1876,72,110,33391,7,90,545,22218,8586,33299,10642,1868,114,3107,4053,449,411,15,1545,10932,568665,11166,1092,1333,954,577,103,33
1,2015,3,100,123,48177,211555,6266,2937,304,1229,29708,2456,8328,418,80,1918,1711,86,197,1519,12530,4374,321,845,470,1542,29,85,13866,7,41,291,20938,7254,18200,7708,1674,71,2408,3746,297,140,10,1293,6388,425727,979,795,1043,647,501,92,27
2,2014,3,99,110,43541,156324,6043,2232,292,1189,29550,2393,7538,268,64,1883,1204,55,187,1074,9147,3448,270,812,409,1189,35,117,7896,7,38,206,19666,6233,11642,5286,1564,49,2313,3701,240,117,9,856,4811,336939,433,725,626,470,466,85,24
3,2013,3,97,108,31405,84832,5186,1601,253,1001,28428,1312,6056,87,62,1797,488,54,184,669,4694,2224,265,765,343,518,34,115,4155,7,37,169,16748,4715,8780,3860,1345,48,2139,3511,163,58,6,713,3221,224523,282,656,461,337,423,83,24
4,2012,3,77,99,17900,53127,3821,1282,230,592,27422,728,4264,48,46,1561,183,39,92,318,2435,1378,193,739,296,220,17,85,1953,6,33,125,13663,3853,6052,3178,1147,36,1916,3044,149,52,6,171,2399,156849,199,623,278,267,413,76,14
5,2011,3,71,84,7472,41282,2813,1178,194,372,25859,524,2836,34,29,1320,166,29,85,165,1030,536,141,563,241,48,17,32,575,4,31,96,7606,1703,4236,2109,556,31,1675,2492,102,47,5,54,1267,111129,112,544,171,200,330,57,6
6,2010,3,68,79,4482,35590,1772,1125,76,122,24632,383,2291,33,29,1284,134,28,66,113,665,209,138,465,228,35,13,33,426,4,28,83,4770,380,3361,1720,435,26,1554,1413,63,38,5,48,847,90483,80,507,107,154,291,46,6
7,2009,3,62,59,3434,30965,1127,1052,21,83,23269,293,2018,32,23,1104,128,24,60,83,438,134,127,432,203,29,12,31,340,4,25,68,3275,208,2826,1467,249,25,1382,736,63,35,5,34,619,77654,58,467,97,123,258,44,4
8,2008,2,64,53,3107,29708,806,923,19,49,23614,264,1790,19,20,1053,102,23,48,79,333,102,127,408,189,35,12,32,267,3,25,60,2589,185,2637,1343,201,24,1245,605,64,31,4,36,548,73814,45,454,84,108,226,46,5
9,2007,0,63,53,2747,25625,308,772,14,43,23160,245,1515,17,17,954,100,24,41,77,268,80,116,405,146,34,11,23,176,3,23,52,2212,165,1473,1156,175,22,1058,547,58,24,4,36,517,65375,40,397,60,102,174,43,4
10,2006,0,62,94,2660,23207,232,654,14,21,22985,241,1380,14,14,824,91,21,39,67,224,74,109,335,147,30,9,15,160,3,20,46,1906,174,799,1021,169,20,877,490,54,19,4,34,505,60581,36,329,51,109,150,40,4
11,2005,0,53,90,2574,22019,206,556,5,11,22915,237,1301,8,8,669,78,17,35,65,204,68,97,274,142,33,9,5,116,2,15,40,1616,177,705,847,160,21,744,429,25,19,3,29,501,57773,35,268,43,116,142,38,3
12,2004,0,54,239,2671,22152,193,454,4,11,23957,234,1272,4,3,519,63,15,30,65,189,63,96,224,173,46,9,4,89,1,11,36,1403,239,606,679,148,27,681,403,22,20,3,34,517,58295,37,209,38,155,153,38,2
13,2003,0,68,367,2759,21804,199,402,3,13,24706,236,1259,5,3,392,37,18,4,60,162,38,89,199,203,61,9,4,85,1,12,25,1198,286,589,584,130,35,677,366,25,21,3,39,531,58366,39,191,35,191,168,27,2
14,2002,0,82,500,2876,22373,205,365,3,15,25656,231,1240,6,3,326,38,22,4,56,166,40,96,210,226,77,9,3,100,1,12,28,948,327,573,569,119,44,661,397,27,22,3,44,535,59923,39,178,32,228,175,30,2
15,2001,0,97,642,3086,22921,212,302,3,17,26770,226,1236,7,2,247,35,25,4,57,170,42,103,219,257,94,9,3,111,1,13,31,664,371,538,554,100,53,655,408,30,22,0,49,541,61626,41,146,30,263,184,33,2
16,2000,0,113,795,3344,23041,221,260,2,20,27909,224,1282,8,1,208,33,29,4,60,187,44,110,229,288,111,9,3,127,1,14,34,638,430,477,552,100,63,633,437,33,23,0,53,547,63430,44,136,29,289,196,36,2
17,1999,0,127,931,3573,23897,231,264,2,23,28969,216,1280,9,2,209,34,32,4,67,203,46,117,251,323,127,10,3,142,1,14,36,647,487,431,558,99,73,647,467,36,24,0,58,569,66031,47,137,28,326,214,39,2
18,1998,0,134,1033,3713,24473,233,231,2,24,29626,202,1257,9,2,180,33,34,4,71,213,49,117,262,345,138,10,2,152,1,15,38,628,519,339,553,85,79,622,490,38,24,0,61,555,67419,49,138,24,342,227,42,2
19,1997,1,138,1108,3792,24966,230,199,1,26,29982,186,1222,9,2,137,32,36,4,69,220,51,117,262,359,146,10,2,156,1,15,38,584,542,258,538,54,79,601,509,40,23,0,61,494,68140,51,138,23,355,230,43,2
20,1996,1,146,1189,3861,25587,227,187,1,27,30259,169,1211,9,2,113,32,37,4,73,222,51,114,266,370,154,9,2,164,1,15,39,576,575,224,514,37,83,572,515,42,16,0,61,496,69110,53,136,20,365,238,45,2
21,1995,1,150,1230,3844,25332,217,152,1,28,29925,159,1168,9,2,105,25,37,4,75,223,51,116,267,375,159,9,1,162,0,15,40,541,585,178,451,34,86,515,495,43,16,0,61,478,68212,51,134,17,370,235,38,2
22,1994,1,153,1259,3836,25136,208,134,1,29,29387,143,1120,9,2,86,24,37,4,72,218,51,110,256,342,162,10,1,164,0,16,30,517,590,135,397,30,88,464,484,43,16,0,61,464,67108,51,131,13,373,219,31,2
23,1993,1,148,1272,3794,24602,188,78,1,29,28530,133,1065,9,2,70,20,37,4,70,203,49,98,226,342,163,4,1,164,0,10,28,464,584,99,336,27,89,414,464,43,16,0,61,435,65173,40,128,8,374,218,31,2
24,1992,1,148,1278,3725,23566,181,74,1,29,27532,123,1010,9,2,61,16,37,4,70,200,45,91,226,344,163,4,1,163,0,10,28,443,584,95,314,23,89,378,460,44,16,0,61,424,62865,40,128,7,372,214,32,2
25,1991,1,148,1278,3661,23786,167,71,1,29,26362,114,957,9,2,54,13,36,4,69,196,41,90,226,341,162,4,1,162,0,9,27,419,581,71,292,19,89,352,451,42,15,0,60,418,61609,40,127,7,363,208,32,2
26,1990,1,138,1281,3619,22028,154,66,1,29,25584,105,885,9,2,53,13,36,3,64,193,41,85,226,338,163,4,1,161,0,9,27,399,573,62,276,19,89,314,445,38,15,0,60,374,58755,40,127,6,364,204,32,2
27,1989,1,135,1250,3471,19697,142,64,1,28,24119,102,819,9,2,49,12,35,3,63,184,40,78,220,330,156,2,1,156,0,8,26,376,554,55,258,18,87,282,426,30,14,0,58,352,54455,34,121,6,354,193,31,2
28,1988,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,1,0,0,0,0,0
29,1987,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0
30,1986,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0
31,1985,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0
32,1984,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0
33,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
