,0,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,United States,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming
0,2016,1563,0,0,5000,124715,86977,118,0,49,0,0,5900,185305,23804,98445,45232,130272,0,0,1995,4866,15391,43351,91706,10357,0,19758,58,75443,35067,3991,192,33285,3175,36376,11497,185278,66075,32093,245,0,34290,348,531124,2095595,7591,0,2688,74242,13989,13222,40522
1,2015,1488,0,0,4213,113967,69662,0,0,48,0,0,5710,166555,21156,100154,42077,102495,0,0,2000,4050,12075,44702,91129,9627,0,18309,0,60627,29639,3947,201,19477,2886,37061,11211,130754,61799,31244,94,0,23274,427,417802,1777306,5833,0,3032,65936,14811,12825,35009
2,2014,1445,0,0,4452,123559,70076,0,0,48,0,0,5503,155077,26683,95888,33247,103135,0,0,2139,3078,10436,36786,92162,10757,0,18771,0,58985,26028,3914,217,21633,2854,37740,10969,113519,71852,33901,94,0,22218,486,380449,1727542,6276,0,2961,69117,15387,13803,41899
3,2013,1386,0,0,4291,122335,68731,0,0,43,0,0,4802,148538,23472,91834,33213,90002,0,0,1955,3069,9996,26711,78797,11133,0,16741,0,52656,17191,3713,104,20927,2390,33770,10933,106501,71135,31982,25,0,25643,446,342270,1601359,5150,0,2252,66829,14864,13229,42298
4,2012,356,0,0,5059,92821,56798,0,0,35,0,0,3599,133533,17991,73528,30547,49439,0,0,853,3061,8440,10769,77805,11845,0,12007,0,50192,12215,1986,110,21181,1226,28468,9378,77628,60365,20256,13,0,22399,452,306550,1340059,6698,0,1017,62803,14822,12238,41576
5,2011,121,0,0,2483,75317,50526,0,0,47,0,0,3311,104050,12696,60367,31921,36143,0,0,596,2630,6866,4435,65347,11448,0,12292,0,50869,10210,642,102,20447,0,27478,1928,54461,46398,17435,28,0,25925,516,296805,1167636,5565,0,322,60845,11540,10712,44809
6,2010,123,0,0,1316,59303,33676,0,0,25,0,0,2547,89466,4300,43450,28625,33220,0,0,215,15,4870,3515,46748,9029,0,9075,0,39957,4114,738,123,17875,0,25328,123,37152,38244,18088,30,0,13383,396,256109,923427,4368,0,136,46289,10619,9163,31676
7,2009,69,0,0,288,56997,30879,0,0,0,0,0,2454,72424,3059,27519,13695,27945,0,0,58,0,2915,2930,49317,4874,0,8012,0,29256,3735,610,204,15096,0,22119,138,26334,33864,10490,0,0,4109,505,195455,721129,1557,0,113,34867,10267,7246,21728
8,2008,1,0,0,0,53063,31738,0,0,0,0,0,2365,40242,2044,23029,2349,17337,0,0,36,0,1297,1391,42910,2003,0,5845,0,16687,2111,102,206,16188,0,12324,149,23237,25376,7188,0,0,1430,494,159881,545548,236,0,101,36041,4800,3862,9485
9,2007,10,0,0,0,55201,12765,0,0,0,0,0,2354,27247,1703,6567,0,11392,0,0,0,0,979,27,26082,0,0,4900,0,6136,2143,0,202,13771,0,8238,146,18277,12325,4646,0,0,1483,494,89019,340503,0,0,104,24095,1080,1656,7461
10,2006,8,0,0,0,48433,8585,0,0,0,0,0,790,22990,1682,2525,0,9839,0,0,0,0,0,22,20383,0,0,4324,0,3665,2591,0,159,12453,0,6501,143,16986,9237,3582,0,0,1478,542,66165,263738,0,0,106,10292,1006,1723,7529
11,2005,6,0,0,0,42618,7762,0,0,0,0,0,66,16470,0,1411,0,4258,0,0,0,0,0,18,15823,0,0,0,0,2203,966,0,0,7946,0,1030,133,8477,7342,2842,0,0,1581,33,42368,178088,0,0,115,4984,925,1539,7172
12,2004,0,0,0,0,43128,2205,0,0,0,0,0,75,10516,0,782,0,3592,0,0,0,0,0,19,8137,0,0,0,0,2149,385,0,0,5143,0,1166,0,5737,6200,3068,0,0,1579,38,31427,141664,0,0,114,7378,1037,1614,6175
13,2003,0,0,0,0,39441,1489,0,0,0,0,0,16,9942,0,182,0,3705,0,0,0,0,0,27,9900,0,0,0,0,596,387,0,0,1850,0,417,0,552,4492,1129,0,0,448,40,26020,113273,0,0,110,6112,988,1719,3711
14,2002,0,0,0,0,38684,1414,0,0,0,0,0,16,9347,0,0,0,4748,0,0,0,0,0,3,9215,0,0,0,0,0,82,0,0,0,0,830,0,0,3827,588,0,0,61,41,27021,105334,0,0,106,4238,470,92,4551
15,2001,10,0,0,0,36163,503,0,0,0,0,0,22,5041,0,0,0,412,0,0,0,0,0,3,9269,0,0,0,0,0,27,0,0,0,0,212,0,0,915,115,0,0,9,0,12271,69617,0,0,125,0,747,0,3773
16,2000,0,0,0,0,35887,0,0,0,0,0,0,173,5037,0,0,0,0,0,0,0,0,0,0,7391,0,0,0,0,0,0,0,0,0,0,106,0,0,680,100,0,0,0,0,5020,57057,0,0,125,0,28,0,2509
17,1999,0,0,0,0,33029,0,0,0,0,0,0,169,3337,0,0,0,0,0,0,0,0,0,0,4967,0,0,0,0,0,0,0,0,0,0,0,0,0,867,0,0,0,0,0,3272,45894,0,0,139,0,0,0,114
18,1998,0,0,0,0,28122,0,0,0,0,0,0,197,1,0,0,0,0,0,0,0,0,0,0,1497,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,816,30853,0,0,0,0,0,0,21
19,1997,0,0,0,0,32037,0,0,0,0,0,0,164,1,0,0,0,0,0,0,0,0,0,0,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828,33581,0,0,0,0,0,0,0
20,1996,0,0,0,0,31836,0,0,0,0,0,0,233,1,0,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854,33440,0,0,0,0,0,0,0
21,1995,0,0,0,0,31831,0,0,0,0,0,0,210,1,0,0,0,0,0,0,0,0,0,0,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32630,0,0,0,0,0,0,0
22,1994,0,0,0,0,34942,0,0,0,0,0,0,210,1,0,0,0,1,0,0,0,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35560,0,0,0,0,0,0,0
23,1993,0,0,0,0,30758,0,0,0,0,0,0,226,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30987,0,0,0,0,0,0,0
24,1992,0,0,0,0,29619,0,0,0,0,0,0,235,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,29863,0,0,0,0,0,0,0
25,1991,0,0,0,0,30416,0,0,0,0,0,0,372,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,30796,0,0,0,0,0,0,0
26,1990,0,0,0,0,28698,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,29007,0,0,0,0,0,0,0
27,1989,0,0,0,0,21685,0,0,0,0,0,0,344,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22033,0,0,0,0,0,0,0
28,1988,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,-1
29,1987,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,1,0,-2
30,1986,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,1,0,14
31,1985,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,1,0,30
32,1984,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,29
33,1983,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,12
34,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
