Country,2013-Total energy consumption (Mtoe),2014-Total energy consumption (Mtoe),2015-Total energy consumption (Mtoe),2016-Total energy consumption (Mtoe),2017-Total energy consumption (Mtoe),2013-Oil products domestic consumption (Mt),2014-Oil products domestic consumption (Mt),2015-Oil products domestic consumption (Mt),2016-Oil products domestic consumption (Mt),2017-Oil products domestic consumption (Mt),2013-Natural gas domestic consumption (bcm),2014-Natural gas domestic consumption (bcm),2015-Natural gas domestic consumption (bcm),2016-Natural gas domestic consumption (bcm),2017-Natural gas domestic consumption (bcm),2013-Coal and lignite domestic consumption (Mt),2014-Coal and lignite domestic consumption (Mt),2015-Coal and lignite domestic consumption (Mt),2016-Coal and lignite domestic consumption (Mt),2017-Coal and lignite domestic consumption (Mt),2013-Electricity domestic consumption (TWh),2014-Electricity domestic consumption (TWh),2015-Electricity domestic consumption (TWh),2016-Electricity domestic consumption (TWh),2017-Electricity domestic consumption (TWh)
Belgium,56,53,53,57,56,21,21,22,22,21,18,16,17,18,18,5,5,5,5,4,84,83,83,83,84
Czech Rep.,43,42,42,42,44,8,9,8,8,9,8,8,8,9,9,48,46,46,46,45,55,55,56,57,58
France,253,243,246,242,243,70,68,68,67,67,46,38,41,45,45,18,13,14,14,15,457,430,440,447,445
Germany,318,306,308,311,314,100,97,97,98,102,88,79,81,89,94,247,239,239,230,222,537,526,528,528,531
Italy,156,147,153,153,153,53,54,54,54,53,70,62,68,71,75,22,21,20,17,15,297,291,297,295,301
Netherlands,77,73,74,74,76,25,24,24,24,25,46,40,40,42,44,13,15,18,16,15,110,107,108,110,109
Poland,98,95,95,99,104,21,21,23,25,28,18,18,18,19,21,137,130,129,128,129,134,136,139,144,148
Portugal,22,21,22,22,23,9,9,9,9,9,4,4,5,5,6,4,5,6,5,6,46,46,47,47,49
Romania,32,32,32,32,33,8,8,9,9,9,13,12,11,11,12,27,27,28,26,27,45,46,47,49,48
Spain,117,115,119,120,122,47,45,48,49,50,30,27,28,29,32,21,23,26,20,24,235,233,239,240,244
Sweden,49,48,45,48,49,10,10,10,10,10,1,1,1,1,1,4,3,3,3,3,129,127,130,134,134
United Kingdom,191,180,181,178,176,55,55,57,58,58,78,71,72,81,79,61,49,38,18,15,324,311,311,311,305
Norway,33,28,30,28,28,9,8,9,9,9,6,6,6,6,5,1,1,1,1,1,120,117,119,123,123
Turkey,117,122,129,136,152,33,32,37,40,43,46,49,48,46,53,85,97,93,107,134,198,207,217,229,242
Kazakhstan,82,77,78,77,80,11,11,12,12,13,27,28,29,29,30,90,84,77,73,78,71,75,74,75,82
Russia,719,724,709,711,744,140,153,152,157,155,466,465,445,437,471,207,199,222,224,232,872,877,871,886,889
