                                    0  2010 Total Population          ...            2017 Total Population  2018 Total Population
0                               Aruba                 104589          ...                           115120                 116576
1                 Antigua and Barbuda                  86754          ...                            94731                  95882
2                United Arab Emirates                4975593          ...                          6072475                6215216
3                         Afghanistan               29120727          ...                         34124811               34940837
4                             Algeria               35949869          ...                         40969443               41657488
5                          Azerbaijan                9301673          ...                          9961396               10046516
6                             Albania                2986952          ...                          3047987                3057220
7                             Armenia                3071972          ...                          3045191                3038217
8                             Andorra                  84525          ...                            85702                  85708
9                              Angola               22640745          ...                         29310273               30355880
10                     American Samoa                  55529          ...                            51504                  50826
11                          Argentina               41358092          ...                         44293293               44694198
12                          Australia               21515754          ...                         23232413               23470145
13                            Austria                8447901          ...                          8754413                8793370
14                           Anguilla                  14766          ...                            17087                  17422
15                            Bahrain                1180080          ...                          1410942                1442659
16                           Barbados                 285653          ...                           292336                 293131
17                           Botswana                1977723          ...                          2214858                2249104
18                            Bermuda                  68265          ...                            70864                  71176
19                            Belgium               10865722          ...                         11491346               11570762
20                       Bahamas, The                 310426          ...                           329988                 332634
21                         Bangladesh              146615872          ...                        157826578              159453001
22                             Belize                 314522          ...                           360346                 366820
23             Bosnia and Herzegovina                3884899          ...                          3856181                3849891
24                            Bolivia                9947418          ...                         11138234               11306341
25                              Burma               51414732          ...                         55123814               55622506
26                              Benin                9056010          ...                         11038805               11340504
27                            Belarus                9680068          ...                          9549747                9527543
28                    Solomon Islands                 559198          ...                           647581                 660121
29                             Brazil              195834188          ...                        207353391              208846892
..                                ...                    ...          ...                              ...                    ...
198             Sao Tome and Principe                 175808          ...                           201025                 204454
199                           Tunisia               10525963          ...                         11403800               11516189
200                       Timor-Leste                1087669          ...                          1291358                1321929
201                            Turkey               74686698          ...                         80845215               81257239
202                            Tuvalu                  10472          ...                            11052                  11147
203                            Taiwan               23126580          ...                         23508428               23545963
204                      Turkmenistan                4940916          ...                          5351277                5411012
205                          Tanzania               44288197          ...                         53950935               55451343
206                           Curacao                 143405          ...                           149648                 150241
207                            Uganda               31507228          ...                         39570125               40853749
208                    United Kingdom               62348447          ...                         64769452               65105246
209                           Ukraine               45768171          ...                         44033874               43952299
210                     United States              309348193          ...                        326625791              329256465
211                      Burkina Faso               16241811          ...                         20107509               20716669
212                           Uruguay                3301076          ...                          3360148                3369299
213                        Uzbekistan               27865738          ...                         29748859               30023709
214  Saint Vincent and the Grenadines                 104217          ...                           102089                 101844
215                         Venezuela               28480787          ...                         31304016               31689176
216           Virgin Islands, British                  29640          ...                            35015                  35802
217                           Vietnam               89571130          ...                         96160163               97040334
218              Virgin Islands, U.S.                 108358          ...                           107268                 106977
219                           Namibia                2183015          ...                          2484780                2533224
220                         West Bank                2404468          ...                          2747943                2798494
221                 Wallis and Futuna                  15343          ...                            15714                  15763
222                    Western Sahara                 491519          ...                           603253                 619551
223                             Samoa                 192001          ...                           200108                 201316
224                         Swaziland                1354051          ...                          1467152                1482733
225                             Yemen               23209521          ...                         28036829               28667230
226                            Zambia               13041876          ...                         15972000               16445079
227                          Zimbabwe               12721828          ...                         13805084               14030368

[228 rows x 10 columns]
