LocationDesc,YearStart,LocationAbbr,Question,DataValueUnit,DataValueType,DataValue
Alabama,2014,AL,Hospitalizations for asthma,"cases per 10,000",Crude Rate,
Alaska,2014,AK,Hospitalizations for asthma,"cases per 10,000",Crude Rate,
Arizona,2014,AZ,Hospitalizations for asthma,"cases per 10,000",Crude Rate,8.47
Arkansas,2014,AR,Hospitalizations for asthma,"cases per 10,000",Crude Rate,8.34
California,2014,CA,Hospitalizations for asthma,"cases per 10,000",Crude Rate,
Colorado,2014,CO,Hospitalizations for asthma,"cases per 10,000",Crude Rate,7.53
Connecticut,2014,CT,Hospitalizations for asthma,"cases per 10,000",Crude Rate,
Delaware,2014,DE,Hospitalizations for asthma,"cases per 10,000",Crude Rate,
Florida,2014,FL,Hospitalizations for asthma,"cases per 10,000",Crude Rate,14.13
Georgia,2014,GA,Hospitalizations for asthma,"cases per 10,000",Crude Rate,8.97
Hawaii,2014,HI,Hospitalizations for asthma,"cases per 10,000",Crude Rate,7.69
Idaho,2014,ID,Hospitalizations for asthma,"cases per 10,000",Crude Rate,
Illinois,2014,IL,Hospitalizations for asthma,"cases per 10,000",Crude Rate,
Indiana,2014,IN,Hospitalizations for asthma,"cases per 10,000",Crude Rate,
Iowa,2014,IA,Hospitalizations for asthma,"cases per 10,000",Crude Rate,6.07
Kansas,2014,KS,Hospitalizations for asthma,"cases per 10,000",Crude Rate,
Kentucky,2014,KY,Hospitalizations for asthma,"cases per 10,000",Crude Rate,10.83
Louisiana,2014,LA,Hospitalizations for asthma,"cases per 10,000",Crude Rate,
Maine,2014,ME,Hospitalizations for asthma,"cases per 10,000",Crude Rate,
Maryland,2014,MD,Hospitalizations for asthma,"cases per 10,000",Crude Rate,13.05
Massachusetts,2014,MA,Hospitalizations for asthma,"cases per 10,000",Crude Rate,
Michigan,2014,MI,Hospitalizations for asthma,"cases per 10,000",Crude Rate,12.93
Minnesota,2014,MN,Hospitalizations for asthma,"cases per 10,000",Crude Rate,6.04
Mississippi,2014,MS,Hospitalizations for asthma,"cases per 10,000",Crude Rate,
Missouri,2014,MO,Hospitalizations for asthma,"cases per 10,000",Crude Rate,
Montana,2014,MT,Hospitalizations for asthma,"cases per 10,000",Crude Rate,
Nebraska,2014,NE,Hospitalizations for asthma,"cases per 10,000",Crude Rate,5.9
Nevada,2014,NV,Hospitalizations for asthma,"cases per 10,000",Crude Rate,7.81
New Hampshire,2014,NH,Hospitalizations for asthma,"cases per 10,000",Crude Rate,
New Jersey,2014,NJ,Hospitalizations for asthma,"cases per 10,000",Crude Rate,15.17
New Mexico,2014,NM,Hospitalizations for asthma,"cases per 10,000",Crude Rate,9.03
New York,2014,NY,Hospitalizations for asthma,"cases per 10,000",Crude Rate,16.86
North Carolina,2014,NC,Hospitalizations for asthma,"cases per 10,000",Crude Rate,9.04
North Dakota,2014,ND,Hospitalizations for asthma,"cases per 10,000",Crude Rate,
Ohio,2014,OH,Hospitalizations for asthma,"cases per 10,000",Crude Rate,
Oklahoma,2014,OK,Hospitalizations for asthma,"cases per 10,000",Crude Rate,
Oregon,2014,OR,Hospitalizations for asthma,"cases per 10,000",Crude Rate,5.24
Pennsylvania,2014,PA,Hospitalizations for asthma,"cases per 10,000",Crude Rate,
Rhode Island,2014,RI,Hospitalizations for asthma,"cases per 10,000",Crude Rate,12.45
South Carolina,2014,SC,Hospitalizations for asthma,"cases per 10,000",Crude Rate,
South Dakota,2014,SD,Hospitalizations for asthma,"cases per 10,000",Crude Rate,7.76
Tennessee,2014,TN,Hospitalizations for asthma,"cases per 10,000",Crude Rate,
Texas,2014,TX,Hospitalizations for asthma,"cases per 10,000",Crude Rate,
Utah,2014,UT,Hospitalizations for asthma,"cases per 10,000",Crude Rate,5.21
Vermont,2014,VT,Hospitalizations for asthma,"cases per 10,000",Crude Rate,3.88
Virginia,2014,VA,Hospitalizations for asthma,"cases per 10,000",Crude Rate,
Washington,2014,WA,Hospitalizations for asthma,"cases per 10,000",Crude Rate,5.47
West Virginia,2014,WV,Hospitalizations for asthma,"cases per 10,000",Crude Rate,10.65
Wisconsin,2014,WI,Hospitalizations for asthma,"cases per 10,000",Crude Rate,8.91
Wyoming,2014,WY,Hospitalizations for asthma,"cases per 10,000",Crude Rate,
